serie,periodos_previstos,modelo,valores_previstos,MAE,RMSE,SMAPE
Produto,71,AutoARIMA,"[84.88606560185397, 93.04979964531528, 100.03395813286323, 106.0089775932604, 111.12066823083339, 115.49377217592323, 119.23500760476372, 122.4356730153646, 125.17387521233029, 127.51643537080062, 129.52051969376754, 131.23503445619073, 132.70181947959497, 133.9566691618702, 135.0302059787731, 135.94862777345085, 136.7343470703191, 137.4065380146637, 137.9816042850988, 138.47357939748977, 138.894469169079, 139.2545447000698, 139.56259302238647, 139.826131532268, 140.0515914395587, 140.24447471046432, 140.40948833369478, 140.5506591865313, 140.67143230392878, 140.7747549487441, 140.86314853468173, 140.93877015711388, 141.00346523333022, 141.05881253681332, 141.1061627245248, 141.14667129739496, 141.181326798361, 141.2109749360788, 141.23633922300675, 141.25803863149866, 141.27660269877313, 141.2924844493701, 141.30607145044564, 141.31769526969023, 141.32763956667526, 141.33614701508316, 141.34342522474665, 141.3496518080142, 141.35497871407762, 141.3595359370343, 141.36343468817236, 141.3667701098932, 141.36962359750035, 141.37206478551363, 141.37415324698136, 141.37593994725947, 141.3774684877344, 141.378776169841, 141.3798949053406, 141.38085199507347, 141.3816707951894, 141.3823712871149, 141.38297056516595, 141.38348325370583, 141.3839218640278, 141.38429709967198, 141.38461811762716, 141.38489275179143, 141.38512770414522, 141.3853287083018, 141.3855006694263]",73.96,93.27,52.47
Produto,71,AutoETS,"[67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383, 67.36578263309383]",105.05,130.4,82.66
Produto,71,Prophet,"[171.05381876376788, 80.98876512302236, 92.78061600131714, 107.28733330434201, 129.02435761899466, 169.2646256743984, 79.1995720336572, 90.99142291196613, 105.49814021493938, 127.23516452955363, 167.47543258490919, 77.41037894416388, 89.20222982237284, 103.70894712538255, 125.44597144012388, 165.68623949545224, 75.62118585465211, 87.41303673302184, 101.91975403597993, 123.65677835060609, 163.8970464059953, 73.83199276532395, 85.62384364355658, 100.13056094647129, 121.8675852610883, 162.10785331659355, 72.04279967581212, 83.83465055409135, 98.34136785712647, 120.07839217165852, 160.31866022710426, 70.25360658631887, 82.04545746461226, 96.55217476761786, 118.28919908222878, 158.529467137615, 68.46441349682557, 80.25626437526127, 94.76298167827306, 116.50000599287574, 156.74027404821322, 66.67522040747889, 78.46707128591027, 92.97378858871623, 114.71081290328118, 154.95108095875628, 64.88602731796709, 76.67787819643117, 91.1845954993136, 112.92161981392817, 153.16188786929936, 63.0968342286389, 74.88868510696597, 89.39540240991099, 111.13242672449842, 151.37269477981013, 61.30764113927376, 73.09949201750075, 87.60620932050833, 109.3432336350574, 149.58350169044067, 59.51844804979896, 71.31029892800777, 85.81701623095152, 107.55404054562763, 147.7943086009514, 57.72925496028714, 69.52110583854255, 84.02782314165488, 105.76484745619784, 146.005115511582]",82.75,104.69,62.16
País,72,AutoARIMA,"[10366.630717196429, 7625.859019170155, 9929.160854466223, 9667.02010417225, 10005.268904153136, 11852.393019281579, 9041.668436162858, 11062.46400302992, 10625.097575368269, 9710.81080037395, 12047.218738697728, 9586.83425686071, 11595.820331880073, 11141.056552523067, 10207.911003230762, 12472.504465699098, 10043.07492540843, 11992.568213576767, 11526.158688265943, 10597.746854261186, 12796.846444412979, 10402.283246052, 12297.81356684678, 11824.173985594149, 10904.251441370736, 13042.97255286486, 10686.085656823205, 12532.09907646766, 12054.630420916092, 11145.999761573483, 13228.51798113341, 10911.267259510842, 12711.365757657353, 12232.681839606841, 11337.408678736327, 13367.165845954198, 11090.856044851178, 12847.983565128816, 12370.087604860273, 11489.668139065489, 13469.53235152661, 11234.964294914269, 12951.551186079785, 12475.97284344942, 11611.46383197944, 13543.853708120987, 11351.441545398302, 13029.516710816035, 12557.41842604216, 11709.538004354865, 13596.519206941593, 11446.381310962031, 13087.659297357284, 12619.918814824658, 11789.124675386221, 13632.484906197944, 11524.51432488954, 13130.462961895028, 12667.737370952313, 11854.287381347782, 13655.594666786154, 11589.513709383751, 13161.406654660732, 12704.182086790763, 11908.181279696368, 13668.829287634511, 11644.231800537738, 13183.18936997493, 12731.819564663485, 11953.256553020397, 13674.49984357322, 11690.883934624264]",10124.46,11405.85,56.81
País,72,AutoETS,"[6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683, 6944.78383011683]",14872.04,16093.47,98.7
País,72,Prophet,"[15314.713679965282, 9578.497953857404, 11021.566832903525, 12914.935792327256, 12628.099166665175, 15311.520635607394, 9575.304909487866, 11018.373788552399, 12911.742747972869, 12624.906122307208, 15308.327591247438, 9572.111865132285, 11015.180744180601, 12908.549703600747, 12621.713077948049, 15305.134546884612, 9568.918820767023, 11011.987699829479, 12905.35665924636, 12618.520033585568, 15301.941502521786, 9565.725776416844, 11008.794655463047, 12902.163614880974, 12615.326989223086, 15298.748458166765, 9562.532732051583, 11005.601611096614, 12898.970570530844, 12612.133944863928, 15295.55541380681, 9559.339687696007, 11002.408566740123, 12895.777526165462, 12608.940900504767, 15292.362369446855, 9556.146643340426, 10999.215522388995, 12892.584481815331, 12605.747856150123, 15289.169325091834, 9552.953598980566, 10996.022478037868, 12889.391437443212, 12602.554811783133, 15285.97628072901, 9549.760554615306, 10992.82943368138, 12886.198393088822, 12599.361767428483, 15282.783236366182, 9546.567510265124, 10989.636389314946, 12883.005348734434, 12596.168723069326, 15279.590192006226, 9543.374465895586, 10986.443344948515, 12879.812304380048, 12592.975678711355, 15276.397147648338, 9540.181421549685, 10983.250300601961, 12876.619260007925, 12589.7826343522, 15273.20410328838, 9536.988377184425, 10980.05725623553, 12873.426215664535, 12586.589589993042, 15270.011058930493, 9533.795332814885]",9738.63,11137.16,54.23
Cliente,99,AutoARIMA,"[371.3877653367339, 349.28353673760535, 254.6393600910376, 134.92533635053104, 276.096355136399, 128.67428343687033, 242.9663541860156, 227.4879437859949, 429.54318006884444, 156.27130271361443, 241.2025483699265, 194.86474540572152, 214.04776915946212, 191.37657778525227, 269.0180660844924, 358.6093012885751, 192.5756669959453, 231.50750642862562, 204.00356966854127, 227.65769050176743, 185.42026401196824, 284.8355811114725, 303.2971958801696, 236.1138987978543, 194.88952464721808, 252.5481654333475, 186.04218147109123, 242.26736563616106, 227.99367784993768, 335.45786607208305, 190.13876785122977, 249.43376740833173, 205.5291521448841, 238.94833254255036, 201.9743685414403, 266.46206080241745, 280.54785142613457, 230.5751338892577, 220.1325981206203, 235.62004333728248, 219.04979324542666, 225.71952365442007, 247.57434273324412, 280.146994996456, 226.21323090715634, 226.672978582886, 236.09866632725198, 220.30995138772153, 233.41831922928486, 238.02832937611498, 279.9070721435931, 217.88430151443345, 241.10578302136565, 223.21286912157188, 237.99310538869503, 219.78475245718363, 252.66235706958855, 255.68832164422884, 236.88219738934316, 225.86927089160872, 240.21714985751026, 224.586518684105, 236.1136824449249, 237.70256927124626, 262.2650261670794, 227.41250182263576, 236.85312082875367, 232.23558865807212, 233.58931122761913, 231.30403238939954, 241.57787807841783, 253.9062144538583, 231.4320787120388, 236.08958303402392, 233.30263960421206, 235.29842623167139, 230.9704977854792, 242.97688324648976, 247.33237660162513, 236.16343228886035, 232.49840890987832, 238.38048102135286, 231.29344632707046, 236.98362510736354, 237.0197988268535, 249.8691968624413, 231.72418720319854, 238.14422686905084, 233.71855061910452, 236.83698082656122, 233.08500294208284, 240.77284833768795, 243.736520253254, 235.994438033289, 235.26960886772684, 236.84288867427404, 234.97062860309154, 235.62497028631907, 238.75786205223733]",520.74,794.58,147.9
Cliente,99,AutoETS,"[238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642, 238.66720233233642]",525.3,796.9,148.3
Cliente,99,Prophet,"[441.3507972313871, 326.9707753504684, 54.415637560243766, 232.3798616700587, 356.93758210663606, 327.87612976747215, 315.0535045128933, 448.0288337254327, 333.64881184505845, 61.09367405451815, 239.0578981640755, 363.61561860093633, 334.55416626170484, 321.7315410069087, 454.7068702199681, 340.32684833923446, 67.77171054879264, 245.7359346586049, 370.29365509535563, 341.23220275631894, 328.40957750140217, 461.3849067142992, 347.00488483325046, 74.4497470430671, 252.41397115262995, 376.971691589656, 347.91023925055174, 335.0876139956256, 468.06294320863014, 353.68292132816066, 81.1277835375758, 259.09200764716763, 383.6497280840555, 354.5882757449549, 341.7656504898488, 474.74097970288017, 360.3609578221767, 87.80582003185023, 265.7700441417051, 390.32776457845506, 361.26631223922806, 348.44368698434255, 481.41901619741554, 367.0389943163527, 94.4838565262747, 272.4480806357303, 397.0058010727751, 367.9443487336311, 355.1217234788361, 488.09705269195103, 373.7170308105289, 101.16189302061483, 279.12611713025956, 403.6838375670755, 374.6223852279043, 361.7997599731217, 494.7750891862007, 380.395067305279, 107.83992951497365, 285.80415362478897, 410.3618740613757, 381.3004217225184, 368.477796467553, 501.4531256805319, 387.07310379929487, 114.51796600924803, 292.48219011932656, 417.03991055569577, 387.9784582167512, 375.1558329618386, 508.131162174863, 393.75114029420524, 121.1960025037568, 299.1602266133433, 423.7179470500954, 394.65649471098385, 381.83386945633214, 514.8091986693985, 400.4291767887953, 127.87403899803121, 305.83826310788083, 430.3959835444948, 401.3345312052165, 388.5119059503475, 521.487235163444, 407.1072132831315, 134.55207549230573, 312.51629960241024, 437.07402003873557, 408.0125676998306, 395.1899424448411, 528.1652716579794, 413.7852497771475, 141.23011198658017, 319.19433609644364, 443.7520565331351, 414.6906041938928, 401.8679789393348, 534.8433081520247]",489.08,740.92,135.81
